,Unnamed: 0,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt,controversial-score,POPULARITY
3767,3801,uZpG9v4FrFI,cardellstone,0.0, UNA ,92.0,711384,4.6,1043,487,0,0.6845810420251228,711384.0
746,764,uOwhdkJcz-c,AtheneWins,0.0, UNA ,601.0,686450,4.16,1536,1328,0,1.934591011727001,686450.0
3760,3794,CJiew4TrOOc,Thicknsexy954,0.0, UNA ,60.0,589573,4.24,950,648,0,1.0991005354722825,589573.0
2842,2872,wLMSqNNVjBw,pcursos,0.0, UNA ,363.0,471497,4.25,133,85,0,0.18027686284324185,471497.0
4010,4044,WTC0UvS9mXA,lethalhornet,0.0, UNA ,204.0,371448,4.77,1051,276,0,0.7430380564708923,371448.0
3776,3810,3cUxeOwxs28,jasminsvideosss,0.0, UNA ,62.0,243338,4.69,252,80,0,0.3287608182856767,243338.0
3762,3796,HdZ4j94d3l8,butttttvidzzzzz,0.0, UNA ,66.0,229403,4.64,245,107,0,0.466428076354712,229403.0
767,785,_r8ewTcWLio,caqtain,0.0, UNA ,87.0,217431,4.34,215,81,0,0.37253197566124424,217431.0
4062,4096,kOZ8bRAO7YQ,RockstarGames,0.0, UNA ,63.0,199361,4.79,1256,2410,0,12.08862315096734,199361.0
3772,3806,2oYTYtbl1H8,lilnewyork17,0.0, UNA ,33.0,198798,4.3,151,28,0,0.14084648738920916,198798.0
3774,3808,0JV1tyhO_Z8,XeyecandychicaX,0.0, UNA ,61.0,152891,4.18,106,74,0,0.4840049446991648,152891.0
3765,3799,ZHQibxegCe8,jennabees24,0.0, UNA ,34.0,130276,4.55,122,96,0,0.7368970493413983,130276.0
2132,2161,_SwwPoDW0dc,companx7400,0.0, UNA ,13.0,120030,3.45,93,90,0,0.7498125468632841,120030.0
490,503,Bizjbag0Em0,elena019,0.0, UNA ,354.0,93449,3.93,99,10,0,0.10701024088005223,93449.0
3755,3789,X5aSYioJa8s,MULTICULT,0.0, UNA ,339.0,91141,4.44,61,28,0,0.3072162912410441,91141.0
103,105,O27r2zYVIhw,mrpregnant,0.0, UNA ,300.0,87835,3.53,680,251,0,2.8576307849945923,87835.0
3758,3792,KHKdoil7fOU,FS0523,0.0, UNA ,63.0,78261,4.6,87,16,0,0.2044441037042716,78261.0
