,VID_ID,UPLOADER,INT_AFT_EST(m),CATEGORY,LENGTH(m),NO_OF_VIEWS,RATINGS(/5),NO_OF_RATS,NO_OF_COMS,REL_VID_ID,POPULARITY
3801,uZpG9v4FrFI,cardellstone,0.0, UNA ,92.0,711384.0,4.6,1043.0,487.0,"['uZpG9v4FrFI', 'cardellstone', 0.0, ' UNA ', 92.0, 711384.0, 4.6, 1043.0, 487.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",711384.0
764,uOwhdkJcz-c,AtheneWins,0.0, UNA ,601.0,686450.0,4.16,1536.0,1328.0,"['uOwhdkJcz-c', 'AtheneWins', 0.0, ' UNA ', 601.0, 686450.0, 4.16, 1536.0, 1328.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",686450.0
3794,CJiew4TrOOc,Thicknsexy954,0.0, UNA ,60.0,589573.0,4.24,950.0,648.0,"['CJiew4TrOOc', 'Thicknsexy954', 0.0, ' UNA ', 60.0, 589573.0, 4.24, 950.0, 648.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",589573.0
2872,wLMSqNNVjBw,pcursos,0.0, UNA ,363.0,471497.0,4.25,133.0,85.0,"['wLMSqNNVjBw', 'pcursos', 0.0, ' UNA ', 363.0, 471497.0, 4.25, 133.0, 85.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",471497.0
4044,WTC0UvS9mXA,lethalhornet,0.0, UNA ,204.0,371448.0,4.77,1051.0,276.0,"['WTC0UvS9mXA', 'lethalhornet', 0.0, ' UNA ', 204.0, 371448.0, 4.77, 1051.0, 276.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",371448.0
1053,kHmvkRoEowc,itschriscrocker,937.0,Entertainment,131.0,18235463.0,2.42,122129.0,259683.0,"['kHmvkRoEowc', 'itschriscrocker', 937.0, 'Entertainment', 131.0, 18235463.0, 2.42, 122129.0, 259683.0, 'h863nXDqCM0', 'hZAr9E8i3ng', 'bCZSDxA8_JA', 'nhSZs-aAZbo', '_5MVp5WEY3U', 'O6Bqf23u-40', 'g0VRkCF2a80', 'VVcmHcHIsYc', 'wYBI_0qGwXg', 'hoKlMpCW0Vc', '244qR7SvvX0', 'uEE3akeFeQU', 'aiqkDm9UoKo', 'Yd1Oe1LELcc', nan, nan, nan, nan, nan, nan]",279144.54004115984
3810,3cUxeOwxs28,jasminsvideosss,0.0, UNA ,62.0,243338.0,4.69,252.0,80.0,"['3cUxeOwxs28', 'jasminsvideosss', 0.0, ' UNA ', 62.0, 243338.0, 4.69, 252.0, 80.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",243338.0
3796,HdZ4j94d3l8,butttttvidzzzzz,0.0, UNA ,66.0,229403.0,4.64,245.0,107.0,"['HdZ4j94d3l8', 'butttttvidzzzzz', 0.0, ' UNA ', 66.0, 229403.0, 4.64, 245.0, 107.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",229403.0
785,_r8ewTcWLio,caqtain,0.0, UNA ,87.0,217431.0,4.34,215.0,81.0,"['_r8ewTcWLio', 'caqtain', 0.0, ' UNA ', 87.0, 217431.0, 4.34, 215.0, 81.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",217431.0
4096,kOZ8bRAO7YQ,RockstarGames,0.0, UNA ,63.0,199361.0,4.79,1256.0,2410.0,"['kOZ8bRAO7YQ', 'RockstarGames', 0.0, ' UNA ', 63.0, 199361.0, 4.79, 1256.0, 2410.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",199361.0
3806,2oYTYtbl1H8,lilnewyork17,0.0, UNA ,33.0,198798.0,4.3,151.0,28.0,"['2oYTYtbl1H8', 'lilnewyork17', 0.0, ' UNA ', 33.0, 198798.0, 4.3, 151.0, 28.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",198798.0
1109,12Z3J1uzd0Q,kaejane,404.0,Film & Animation,615.0,65341925.0,3.03,9189.0,5508.0,"['12Z3J1uzd0Q', 'kaejane', 404.0, 'Film & Animation', 615.0, 65341925.0, 3.03, 9189.0, 5508.0, 'innfyQZHPpo', '#NAME?', '1Al4crLW9EM', 'nhSZs-aAZbo', 'Af9aPlG2WFw', '5P6UU6m3cqk', 'uBHsOTYO6AI', 'lW19DnWz6vg', 'vr3x_RRJdd4', '5GE82tqcYYQ', 'D2kJZOfq7zk', 'lsO6D1rwrKc', 'dMH0bHeiRNg', 'kNLXjXxj3J8', 'vQbYvjmfbr4', 'G-HonZGBWus', 'MuOvqeABHvQ', '-2caf6KlSyw', 'cQ25-glGRzI', 'pv5zWaTEVkI']",167245.43844855396
3808,0JV1tyhO_Z8,XeyecandychicaX,0.0, UNA ,61.0,152891.0,4.18,106.0,74.0,"['0JV1tyhO_Z8', 'XeyecandychicaX', 0.0, ' UNA ', 61.0, 152891.0, 4.18, 106.0, 74.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",152891.0
