,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt
0,QuRYeRnAuXM,EvilSquirrelPictures,1135.0,Pets & Animals,252.0,1075,4.96,46,86,14
1,3TYqkBJ9YRk,hggh22,1135.0,Comedy,169.0,228,5.0,5,3,20
2,rSJ8QZWBegU,TimeGem,1135.0,Entertainment,95.0,356,4.31,13,1,20
3,nRcovJn9xHg,wooochacha,1135.0,Entertainment,118.0,1115,2.23,57,73,20
4,UEvVksP91kg,johnx113,1135.0,Entertainment,83.0,281,2.67,9,16,20
5,sVkuOk4jmCo,marcosoycadiz,1135.0,People & Blogs,49.0,1196,3.67,6,5,14
6,ZTopArY7Nbg,TroyChannel,1136.0,Entertainment,145.0,11,0.0,0,0,20
7,0RViGi2Rne8,OmnipotentSI,1135.0,Entertainment,9.0,490,2.31,26,15,20
8,HT_QlOJbDpg,dumbasstheredneck,1095.0,Comedy,14.0,1349,2.09,22,13,20
9,ShhClb6J-NA,thecrashguy,1136.0,Entertainment,61.0,29,0.0,0,0,20
10,g9e1alirMhc,iamdanielisaac,541.0,Comedy,152.0,483053,4.65,2689,2932,20
11,YZev1imoxX8,threefirstnames,1135.0,Entertainment,253.0,63,5.0,3,2,20
12,I4yKEK9o8gA,djlogitek,964.0,News & Politics,173.0,106929,4.39,1010,1484,20
13,1GKaVzNDbuI,fatvids,690.0,Comedy,176.0,2464486,4.5,13342,11997,20
14,yuZhwV24PmM,weneedhelp,1082.0,News & Politics,213.0,46183,4.71,280,247,14
15,zQ83d_D2MGs,dumbasstheredneck,1095.0,Comedy,14.0,1550,1.57,14,4,20
16,DomumdGQSg8,imgrown18,910.0,Comedy,224.0,392908,4.8,1261,829,14
17,pFUYi7dp1WU,StanleyJenkins,1106.0,Comedy,200.0,110272,4.07,1011,482,20
18,2l6vwAIAqNU,makemagazine,460.0,Film & Animation,294.0,71966,4.07,260,229,20
19,hiSmlmXp-aU,bravenewfilms,440.0,Entertainment,168.0,653840,4.43,198,377,14
