,VID_ID,UPLOADER,INT_AFT_EST(m),CATEGORY,LENGTH(m),NO_OF_VIEWS,RATINGS(/5),NO_OF_RATS,NO_OF_COMS,REL_VID_ID
763,MNvUSfRHzdQ,AtheneWins,1073.0,People & Blogs,5202.0,760935.0,4.59,4440.0,2441.0,"['MNvUSfRHzdQ', 'AtheneWins', 1073.0, 'People & Blogs', 5202.0, 760935.0, 4.59, 4440.0, 2441.0, 'rVhGT_eB03g', 'mSgwvL4Gdyw', 'mr5ghuaTK14', '6W0-dx5FxrA', '65w47grytvU', 'WW68Yx-_VZA', 'UbN8PajPngM', 'vRlvbJ0GVf0', 'LHlFa5O8XvE', 'tqv8lSyKA1s', 'uOwhdkJcz-c', 'jTpTOGljpLY', 'E9BnZxuYtWc', 'UQ2DywOyDc8', '0iu0ZX7Lg1Q', 'VaDtbwkTlBI', 'w_EHF172MOc', 'keKWacq2dso', 'h-58NmMQ-X4', 'vrPgay90rtM']"
2081,G2NRNSMQtro,duncor,901.0,Entertainment,3638.0,35115.0,4.79,72.0,17.0,"['G2NRNSMQtro', 'duncor', 901.0, 'Entertainment', 3638.0, 35115.0, 4.79, 72.0, 17.0, 'svHY29HFL2c', 'EN7KfJ7ZKXc', '6e19e9vg0Fs', 'pkXPbEb4NyI', 'bbh54CIGCj8', 'uFQOrZAR1FU', 'P1pxsYp4xPQ', 'BxpKk-5BbCk', 'oMaTZFCLbq0', 'Aw6IIz1RSTo', 'YRgNOyCnbqg', 'W55nuIYNsDk', '5bqpIlZhhYQ', 'pNJlE7eh6hU', '7j-C7hsEmz8', 'iABEgqlRm20', 'QygrL1JQYes', '_PMSCD6HS3Y', 'McWg54PIsE8', 'o8n0yVNeN0M']"
309,ZyFRjfDhZbk,bridgingheaven,865.0,Entertainment,3517.0,2653.0,4.27,11.0,7.0,"['ZyFRjfDhZbk', 'bridgingheaven', 865.0, 'Entertainment', 3517.0, 2653.0, 4.27, 11.0, 7.0, 'z2cwwl7cW1M', 'GbCqfG1n-0c', 'vlnjbjC3u4I', 'gYv1XUqzgSg', '7g4ICz8xh2Q', 'nj7oKmd8oLQ', 'YFHWN_Yqabs', 'h4nJvXWGF5Y', 'N5GgN5XbFFI', '8Kc_O1KEWP0', '71OloCDXuHg', 'dHRMFsOUYBY', 'PXmYd80qyM0', '8ZuARaAe2lM', 'Ge79A9iL-VI', 'aQRYQMSmNoM', 'oDTElzF3n18', '9UxGu1ZBNdg', 'DamJSe_H9Wo', 'O_imYR18uHQ']"
2969,MWYi4_COZMU,chrisabraham,637.0,Howto & Style,2731.0,31163.0,4.53,70.0,39.0,"['MWYi4_COZMU', 'chrisabraham', 637.0, 'Howto & Style', 2731.0, 31163.0, 4.53, 70.0, 39.0, 'xmGML--UIfc', 'H1ImndT0fC8', 'BiCn6y6JU8o', 'OD4nh5A5up4', 'ocZntJTh7Ik', 'NopuJ_OYjsk', 'bU4gXHkejMo', 'rnMnpt6u5uo', '1v1KB83rOYs', 'qWy4hJgOedU', 'jZULGg9kfCo', '3l5g7F9zk3I', 'GQ5eZSa7URA', 'IAi3ZM1h4SY', 'Pv1WfG3bFO0', 'ryb4VPSmKuo', 'RQnG04zKem4', 'gW6zXxp3YJ0', 'gb9VCfivwdM', '_X5Wh8PhsFQ']"
3143,ZmY8Q-kVH5A,bryanharley,613.0,Comedy,2716.0,7094.0,4.68,50.0,33.0,"['ZmY8Q-kVH5A', 'bryanharley', 613.0, 'Comedy', 2716.0, 7094.0, 4.68, 50.0, 33.0, '#NAME?', '07ej4zNlhpU', '9WKzmxjNijE', 'zTG0vXniDQY', 'DbK1eCt97ag', 'Oa-cfEncd6Y', 'BvPdWcCHkxM', 'tiLgi5p14ts', 'zt-eGGoS5ss', 'WPxjYF5niik', 'bm1_zwUDOSE', 'RYzN-SpJIys', 'SCVc5TaPpe8', 'mJPZ23q762g', 'RHrLorvND_I', 'BuJGFercjN4', 'RSxsdDtqOdI', 'eh7TSXuzc3A', 'IwbB6B0cQs4', 'X0SbVFxl64A']"
1118,F7Vz6GZJJOg,rtve,973.0,News & Politics,2365.0,189406.0,4.62,1310.0,1531.0,"['F7Vz6GZJJOg', 'rtve', 973.0, 'News & Politics', 2365.0, 189406.0, 4.62, 1310.0, 1531.0, 'QNjTZaKj9_s', '0OYbLqQhqqM', 'YswGMK-JF60', 'Dm38j1LKcT8', '4OeSZ5QGZA8', 'NCg5-DyFDQY', 'UhW5BhYLElA', 'Iwguu6DALfU', 'nLWc6xYvjgc', 'DTUSKyTzQ5E', 'AMjIjD85KFE', '_x8rvCVhAfs', 'aLYzIZvRrr8', 'Jh2FnEnFlfY', 'lMDKYhUlZAg', 'VsvegQknd6o', 'PmeE7PHEjAM', 'G3td_UR5vb0', 'ZMK3Ev1OuyM', 'egRGoS0G-Ag']"
861,auQbi_fkdGE,woofcat,299.0,Howto & Style,1492.0,1177125.0,4.67,2192.0,1384.0,"['auQbi_fkdGE', 'woofcat', 299.0, 'Howto & Style', 1492.0, 1177125.0, 4.67, 2192.0, 1384.0, 'aC-KOYQsIvU', 'Sf3M-_RUSCM', 'HsQIoPyfQzM', 'TzFsiDteIiQ', 'uzkNI4YIU2o', 'Xh1W15BWCUk', 'pwTVBWCijEQ', '#NAME?', 'uk2sPl_Z7ZU', 'Qehxjub5lyo', 'LY8Wi7XRXCA', 'Ee_8IMx0uMo', '0PXIjs4VUqg', 'sUTT8wdN_VA', 'lRRDzFROMx0', 'T6EjjyFCxNg', 'lss4rR8N8as', 'No-RGC20B_0', '1EEynvjfljU', 'YjTP_T-wR9w']"
4003,QIMed1RWjDM,jrhelgeson,687.0,Howto & Style,1457.0,1786.0,4.6,10.0,7.0,"['QIMed1RWjDM', 'jrhelgeson', 687.0, 'Howto & Style', 1457.0, 1786.0, 4.6, 10.0, 7.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
1904,_IjAvLXMdo8,journeymanpictures,960.0,News & Politics,1445.0,3330.0,4.64,11.0,17.0,"['_IjAvLXMdo8', 'journeymanpictures', 960.0, 'News & Politics', 1445.0, 3330.0, 4.64, 11.0, 17.0, 'gpCZGC9XzWg', 'm_VInKE6MBw', '5sua0iiO3A4', '64rlAC1X5Y4', 'pbI6CE6yskw', 'XbF1yJF-NRQ', 'zFWuVYpOi1c', '39BlxD96gXw', '16RJ_M7yiB8', 'etia0v1mcOY', 'e3vV45Db9KM', 'ArPD4bQ3-90', 'l-YVdpQHdqo', 'sHzdsFiBbFc', 'KXROnzpsrlg', 'hURyE8JSTsc', 'NinfVqxrYTs', '6DyKFAqwoaM', 'lmoL2NRSzvQ', 'aQlk01sxO_E']"
3150,RrX_PwHVC_8,JoeBurke,694.0,Entertainment,1359.0,5589.0,3.65,31.0,29.0,"['RrX_PwHVC_8', 'JoeBurke', 694.0, 'Entertainment', 1359.0, 5589.0, 3.65, 31.0, 29.0, 'nWpnbD2DEb4', 'r-OVX8SoFUc', 'FE_T-QI-JOw', 'eDjdNJlDr7o', '66k9iqVClm8', 'f9XjthYlHmg', 'uR_PzFZgsHU', 'FT-OD6RNmtA', '7BmU-Urtud4', 'o-5cJse8_Zk', 'DRwHhSGXjXg', 'kTtxTvfGUwI', 'ppAn0LNU_V8', 'w_Fk3qUFZ1Q', 'sZU6nZO_Mso', 'koRlFnBlDH0', 'vdhNUiQnVv8', 'gaFZTAOb7IE', 'HT2DAM1t35U', 'pqgnvx8bqfM']"
