,VID_ID,UPLOADER,INT_AFT_EST(m),CATEGORY,LENGTH(m),NO_OF_VIEWS,RATINGS(/5),NO_OF_RATS,NO_OF_COMS,REL_VID_ID
1440,7McDe1sdPlU,RemixedKingz,1022.0,Music,157.0,1537.0,5.0,4.0,3.0,"['7McDe1sdPlU', 'RemixedKingz', 1022.0, 'Music', 157.0, 1537.0, 5.0, 4.0, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3123,Uc-OWFYNry8,athletic46,1076.0,Sports,55.0,235.0,5.0,2.0,1.0,"['Uc-OWFYNry8', 'athletic46', 1076.0, 'Sports', 55.0, 235.0, 5.0, 2.0, 1.0, '#NAME?', 'fC6QT4Hzt-Q', '2o62Y_G7Lvw', 'vgvK_qrdwrI', 'Kp1Y-Abj7f8', 'Td0NfZX4SsA', 'PjYr2cMmHvE', 'WgMQmiKSebw', 'HmQST6o8Bhk', 'UI4lVy_Qx6Q', 'LNuuye0mxGo', 'YhWZ7bpfQag', 'tV2hjks8phU', 'h7xlAKPakYY', '5icOFd7fgy4', 'tpU2vpskIAk', 'XQASTq1zeYA', 'Y8kFlkk2MnM', '5MQkhJpVj48', 'VmbGxgwv19c']"
3086,_sBRIaZWpXE,theevang1,1112.0,People & Blogs,234.0,192.0,5.0,3.0,0.0,"['_sBRIaZWpXE', 'theevang1', 1112.0, 'People & Blogs', 234.0, 192.0, 5.0, 3.0, 0.0, 'u4LpiT6FuHM', 'hB92X7DIzvc', 'Q44BgIOhTus', 'O0nYg9kR4TE', 'l_DBorMF5gQ', 'P4RdY6IDgUU', 'Dx7mvlI4W0c', 'NqfWG7_pSC0', 'yaquejpiwmo', 'LzrFXw-IXjA', 'JnY8pLz8Oew', '6lSLgFC23IQ', 'CWurjlqnOp0', 'YoS3lDGMxiE', 'k6IcgReoVyI', 'qanNijlM2t8', 'HykclHKdWhk', 'HZt6GXe89qY', 'dwkyfyd5F_s', 'cOewOT-Edrg']"
3085,hB92X7DIzvc,theevang1,1115.0,Film & Animation,70.0,1407.0,5.0,9.0,14.0,"['hB92X7DIzvc', 'theevang1', 1115.0, 'Film & Animation', 70.0, 1407.0, 5.0, 9.0, 14.0, 'qanNijlM2t8', 'LEP0oIRzLS4', 'FFHmY6FwKcw', 'f7flzejm104', 'TIRA2kildFw', 'XeqK7iAopcU', 'YoS3lDGMxiE', 'kXwpj-m4jx0', 'u4LpiT6FuHM', 'nvFj0TDBylc', 'HZt6GXe89qY', '6XkRSocij2I', 'WIj3xuwjstI', 'HykclHKdWhk', '4odzrZHgsKI', 'CLXmrb4Rt9o', 'IVsdOeUFce4', 'TE8fKitNOKs', 'AX-2JvqkAOM', '_sBRIaZWpXE']"
3084,cvd-OyHm9lE,theevang1,1107.0,Music,512.0,1445.0,5.0,11.0,1.0,"['cvd-OyHm9lE', 'theevang1', 1107.0, 'Music', 512.0, 1445.0, 5.0, 11.0, 1.0, 'xlA5ILetYTY', 'O0nYg9kR4TE', 'NqfWG7_pSC0', 'xMsTn2Dw9fQ', 'Re8spAF5wjA', '6ssfB-TKXmE', '9u3V-WKw_SU', '6lSLgFC23IQ', 'OVrqKQ54_hI', 'wNhoInckKDs', '3o1SSuWyUuc', 'yEYD9AALgys', 'UfQ2Zq_HEno', 'kSfMBPlIrlo', 'HZt6GXe89qY', 'hNKtdYSCuNk', 'H11rjvf0xUs', 'DZCUTvuFs8k', 'HgdPgLa76_8', 'u4LpiT6FuHM']"
3083,TE8fKitNOKs,theevang1,1121.0,People & Blogs,299.0,1044.0,5.0,3.0,11.0,"['TE8fKitNOKs', 'theevang1', 1121.0, 'People & Blogs', 299.0, 1044.0, 5.0, 3.0, 11.0, 'fJPNSzA2alk', 'sbLGa_brlvw', '5S3WNA6kZ1A', 'PQMXEIOTua8', 'dXDBp8gDJDI', 'e9uhMiqVjrU', 'Drx5EDQIzBU', 'dj0GQ2HSXu4', '6pGP3CkFQYs', 'FFHmY6FwKcw', 'NvjHvhSxKeI', '4J8dUamIK5g', 'Q2UyvcyZF6k', 'QYgReBMZKuo', '#NAME?', 'lB2gKwUne1Y', 'BiI-EI8S10o', 'KaxOlVFeJXY', 'm4vfO1oxjks', 'Q8SPxl8JTfo']"
3082,4odzrZHgsKI,theevang1,1121.0,People & Blogs,219.0,509.0,5.0,4.0,1.0,"['4odzrZHgsKI', 'theevang1', 1121.0, 'People & Blogs', 219.0, 509.0, 5.0, 4.0, 1.0, 'IVsdOeUFce4', 'lgxU8UbQqy0', 'FFHmY6FwKcw', '2tf68iX0wXg', 'hB92X7DIzvc', 'kXwpj-m4jx0', 'u4LpiT6FuHM', 'xMsTn2Dw9fQ', 'olbbgBO7g2Y', 'Dx7mvlI4W0c', 'cj2bG8KGEmU', 'cvd-OyHm9lE', 'O0nYg9kR4TE', 'JnY8pLz8Oew', nan, nan, nan, nan, nan, nan]"
528,rxdvasZiZ2A,Astroranagun,1128.0,Science & Technology,199.0,76.0,5.0,1.0,1.0,"['rxdvasZiZ2A', 'Astroranagun', 1128.0, 'Science & Technology', 199.0, 76.0, 5.0, 1.0, 1.0, 'Ce4panNehRY', 'LPYLfORALh0', 'Fv-cQrD4MS0', '0P6xpDFRG8E', '8OpX1tdDr3o', 'AJoYvgF6sTI', 'xvMasa9gfEc', 'PC08rDzU4Lk', 's1lUOziI2XE', 'A0xj9ss_Ubk', '0mzhy8VVbzM', 'lcB8CKa73B0', 'b9J3WLTOq0g', 'U_qYb9VCOdg', 'VyNp2yMWV4I', 'GYwf7rpswqc', 'nu71wYb4rfc', '5r6MIqhLON8', 'jv98mKgWpZ0', 'm2tlGzDK57Y']"
529,7Rgz8doVQXg,usethistocomment,1087.0,Howto & Style,64.0,244.0,5.0,1.0,3.0,"['7Rgz8doVQXg', 'usethistocomment', 1087.0, 'Howto & Style', 64.0, 244.0, 5.0, 1.0, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3081,OVrqKQ54_hI,theevang1,1107.0,People & Blogs,358.0,612.0,5.0,2.0,0.0,"['OVrqKQ54_hI', 'theevang1', 1107.0, 'People & Blogs', 358.0, 612.0, 5.0, 2.0, 0.0, 'O0nYg9kR4TE', 'cvd-OyHm9lE', 'u4LpiT6FuHM', 'xMsTn2Dw9fQ', 'LEP0oIRzLS4', 'mV5x7zv2o1E', 'Hd8iS_BYTKQ', '0EPbRfu_Ztk', 'CWurjlqnOp0', 'jmUNkvuKHbo', 'hNKtdYSCuNk', 'l_DBorMF5gQ', 'NqfWG7_pSC0', '0BFZgBmBsqM', '4d2QxEnjrrY', 'hB92X7DIzvc', 'dzH964nFLU4', 'JnY8pLz8Oew', '0pB7bvjjgqM', 'joj-HKF7huo']"
