,Unnamed: 0,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt
1414,1440,7McDe1sdPlU,RemixedKingz,1022.0,Music,157.0,1537,5.0,4,3,0
3093,3123,Uc-OWFYNry8,athletic46,1076.0,Sports,55.0,235,5.0,2,1,20
3056,3086,_sBRIaZWpXE,theevang1,1112.0,People & Blogs,234.0,192,5.0,3,0,20
3055,3085,hB92X7DIzvc,theevang1,1115.0,Film & Animation,70.0,1407,5.0,9,14,20
3054,3084,cvd-OyHm9lE,theevang1,1107.0,Music,512.0,1445,5.0,11,1,20
3053,3083,TE8fKitNOKs,theevang1,1121.0,People & Blogs,299.0,1044,5.0,3,11,20
3052,3082,4odzrZHgsKI,theevang1,1121.0,People & Blogs,219.0,509,5.0,4,1,14
515,528,rxdvasZiZ2A,Astroranagun,1128.0,Science & Technology,199.0,76,5.0,1,1,20
516,529,7Rgz8doVQXg,usethistocomment,1087.0,Howto & Style,64.0,244,5.0,1,3,0
3051,3081,OVrqKQ54_hI,theevang1,1107.0,People & Blogs,358.0,612,5.0,2,0,20
